,Zeit,Weseler Straße (gesamt),Weseler Straße FR stadteinwärts,Weseler Straße FR stadtauswärts,Wetter,Temperatur (°C),Luftfeuchtigkeit (%),Gefühlte Temperatur (°C),Regen (mm),Wind (km/h)
,8. Mrz. 2018 22:00,62,36,26,Stellenweiser Regenfall,4,78,0,0,22
,8. Mrz. 2018 23:00,24,13,11,Leicht bewölkt,4,78,-1,0,22
,9. Mrz. 2018 00:00,8,4,4,Leicht bewölkt,4,77,-1,0,23
,9. Mrz. 2018 01:00,6,3,3,Leicht bewölkt,3,79,-1,0,23
,9. Mrz. 2018 02:00,2,1,1,Leicht bewölkt,3,81,-2,0,23
,9. Mrz. 2018 03:00,4,2,2,Leicht bewölkt,3,82,-2,0,22
,9. Mrz. 2018 04:00,17,9,8,Leicht bewölkt,3,84,-2,0,21
,9. Mrz. 2018 05:00,10,5,5,Bewölkt,2,86,-2,0,20
,9. Mrz. 2018 06:00,61,35,26,Bewölkt,2,88,-3,0,19
,9. Mrz. 2018 07:00,344,203,141,Bewölkt,3,86,-2,0,19
,9. Mrz. 2018 08:00,246,145,101,Leicht bewölkt,3,84,-1,0,19
,9. Mrz. 2018 09:00,177,104,73,Leicht bewölkt,4,83,0,0,19
,9. Mrz. 2018 10:00,160,94,66,Leicht bewölkt,5,78,2,0,19
,9. Mrz. 2018 11:00,156,92,64,Leicht bewölkt,7,74,3,0,18
,9. Mrz. 2018 12:00,126,74,52,Leicht bewölkt,8,69,5,0,17
,9. Mrz. 2018 13:00,206,121,85,Leicht bewölkt,9,65,6,0,16
,9. Mrz. 2018 14:00,219,129,90,Bedeckt,9,61,7,0,14
,9. Mrz. 2018 15:00,254,150,104,Bedeckt,10,57,8,0,13
,9. Mrz. 2018 16:00,218,128,90,Bedeckt,9,59,8,0,11
,9. Mrz. 2018 17:00,186,109,77,Bewölkt,9,61,7,0,10
,9. Mrz. 2018 18:00,166,97,69,Bewölkt,8,63,7,0,8
,9. Mrz. 2018 19:00,133,78,55,Bewölkt,8,68,7,0,9
,9. Mrz. 2018 20:00,82,48,34,Bewölkt,7,74,6,0,9
,9. Mrz. 2018 21:00,50,28,22,Bewölkt,7,80,5,0,9
,9. Mrz. 2018 22:00,31,17,14,Bewölkt,7,84,5,0,10
,9. Mrz. 2018 23:00,29,16,13,Nieselregen,7,88,5,0,10
,10. Mrz. 2018 00:00,26,14,12,Nieselregen,7,93,4,1,10
,10. Mrz. 2018 01:00,32,18,14,Nieselregen,7,94,4,1,10
,10. Mrz. 2018 02:00,8,4,4,Mäßiger Regenfall,7,95,4,1,10
,10. Mrz. 2018 03:00,10,5,5,Mäßiger Regenfall,7,96,5,0,10
,10. Mrz. 2018 04:00,6,3,3,Mäßiger Regenfall,7,96,5,0,10
,10. Mrz. 2018 05:00,12,6,6,Leichter Regenfall,7,96,5,0,11
,10. Mrz. 2018 06:00,26,14,12,Leichter Regenfall,7,96,5,0,11
,10. Mrz. 2018 07:00,22,12,10,Leichter Regenfall,8,92,6,0,13
,10. Mrz. 2018 08:00,70,40,30,Leichter Regenfall,9,89,7,0,16
,10. Mrz. 2018 09:00,110,64,46,Leichter Regenfall,10,85,8,0,18
,10. Mrz. 2018 10:00,189,111,78,Leichter Regenfall,12,81,10,0,19
,10. Mrz. 2018 11:00,146,85,61,Stellenweiser Regenfall,13,77,12,0,20
,10. Mrz. 2018 12:00,198,116,82,Stellenweiser Regenfall,14,73,13,0,21
,10. Mrz. 2018 13:00,143,84,59,Stellenweiser Regenfall,15,71,14,0,20
,10. Mrz. 2018 14:00,168,98,70,Leicht bewölkt,15,70,15,0,20
,10. Mrz. 2018 15:00,112,65,47,Leicht bewölkt,16,68,16,0,20
,10. Mrz. 2018 16:00,155,91,64,Leicht bewölkt,15,72,14,0,19
,10. Mrz. 2018 17:00,127,74,53,Leicht bewölkt,14,75,13,0,18
,10. Mrz. 2018 18:00,125,73,52,Leicht bewölkt,13,79,12,0,16
,10. Mrz. 2018 19:00,111,65,46,Leicht bewölkt,12,82,10,0,15
,10. Mrz. 2018 20:00,82,47,35,Bewölkt,11,86,9,0,13
,10. Mrz. 2018 21:00,64,37,27,Bewölkt,10,89,8,0,12
,10. Mrz. 2018 22:00,39,21,18,Bewölkt,10,91,8,0,11
,10. Mrz. 2018 23:00,30,17,13,Stellenweiser Regenfall,9,92,8,0,11
,11. Mrz. 2018 00:00,19,10,9,Stellenweiser Regenfall,9,93,7,0,10
,11. Mrz. 2018 01:00,30,16,14,Stellenweiser Regenfall,9,93,7,0,10
,11. Mrz. 2018 02:00,18,10,8,Stellenweiser Regenfall,9,94,7,0,10
,11. Mrz. 2018 03:00,12,6,6,Stellenweiser Regenfall,8,94,7,0,10
,11. Mrz. 2018 04:00,4,2,2,Stellenweiser Regenfall,8,94,7,0,10
,11. Mrz. 2018 05:00,2,1,1,Leichter Nebel,8,94,6,0,10
,11. Mrz. 2018 06:00,8,4,4,Leichter Nebel,8,94,6,0,10
,11. Mrz. 2018 07:00,14,8,6,Leichter Nebel,9,90,7,0,11
,11. Mrz. 2018 08:00,21,11,10,Leicht bewölkt,10,86,8,0,12
,11. Mrz. 2018 09:00,80,46,34,Leicht bewölkt,11,83,10,0,14
,11. Mrz. 2018 10:00,87,50,37,Leicht bewölkt,12,77,11,0,17
,11. Mrz. 2018 11:00,85,49,36,Bewölkt,14,72,13,0,19
,11. Mrz. 2018 12:00,82,48,34,Bewölkt,15,67,15,0,22
,11. Mrz. 2018 13:00,104,61,43,Bewölkt,15,66,15,0,21
,11. Mrz. 2018 14:00,74,43,31,Bewölkt,15,65,15,0,21
,11. Mrz. 2018 15:00,98,57,41,Bewölkt,15,64,15,0,20
,11. Mrz. 2018 16:00,100,58,42,Bewölkt,14,68,14,0,17
,11. Mrz. 2018 17:00,108,63,45,Leicht bewölkt,13,72,13,0,14
,11. Mrz. 2018 18:00,71,41,30,Leicht bewölkt,13,77,12,0,12
,11. Mrz. 2018 19:00,74,43,31,Leicht bewölkt,12,81,11,0,10
,11. Mrz. 2018 20:00,45,25,20,Bedeckt,11,85,10,0,9
,11. Mrz. 2018 21:00,25,14,11,Bedeckt,11,89,10,0,8
,11. Mrz. 2018 22:00,31,17,14,Bedeckt,10,90,10,0,7
,11. Mrz. 2018 23:00,4,2,2,Nieselregen,10,92,9,0,6
,12. Mrz. 2018 00:00,4,2,2,Nieselregen,10,93,9,0,6
,12. Mrz. 2018 01:00,6,3,3,Nieselregen,9,93,9,0,6
,12. Mrz. 2018 02:00,4,2,2,Nieselregen,9,94,8,0,6
,12. Mrz. 2018 03:00,2,1,1,Nieselregen,9,94,8,0,6
,12. Mrz. 2018 04:00,9,5,4,Nieselregen,8,94,8,0,6
,12. Mrz. 2018 05:00,28,15,13,Leichter Nebel,8,94,7,0,6
,12. Mrz. 2018 06:00,74,43,31,Leichter Nebel,8,95,7,0,6
,12. Mrz. 2018 07:00,350,207,143,Leichter Nebel,9,93,8,0,7
,12. Mrz. 2018 08:00,265,156,109,Leichter Nebel,9,91,8,0,8
,12. Mrz. 2018 09:00,166,97,69,Leichter Nebel,10,89,8,0,10
,12. Mrz. 2018 10:00,131,77,54,Leichter Nebel,11,85,9,0,12
,12. Mrz. 2018 11:00,147,86,61,Stellenweiser Regenfall,11,81,10,0,13
,12. Mrz. 2018 12:00,169,99,70,Stellenweiser Regenfall,12,77,11,0,15
,12. Mrz. 2018 13:00,165,97,68,Stellenweiser Regenfall,13,73,11,0,16
,12. Mrz. 2018 14:00,184,108,76,Stellenweiser Regenfall,13,69,12,0,18
,12. Mrz. 2018 15:00,246,145,101,Stellenweiser Regenfall,14,65,12,0,19
,12. Mrz. 2018 16:00,304,179,125,Stellenweiser Regenfall,13,67,11,0,18
,12. Mrz. 2018 17:00,312,184,128,Leichter Regenschauer,12,69,10,0,18
,12. Mrz. 2018 18:00,205,120,85,Leichter Regenschauer,11,72,9,0,17
,12. Mrz. 2018 19:00,138,81,57,Leichter Regenschauer,11,74,8,0,17
,12. Mrz. 2018 20:00,99,58,41,Leicht bewölkt,10,76,7,0,18
,12. Mrz. 2018 21:00,66,38,28,Leicht bewölkt,9,78,6,0,18
,12. Mrz. 2018 22:00,48,27,21,Leicht bewölkt,9,79,6,0,18
,12. Mrz. 2018 23:00,19,10,9,Leicht bewölkt,9,79,6,0,18
,13. Mrz. 2018 00:00,15,8,7,Leicht bewölkt,9,80,6,0,19
,13. Mrz. 2018 01:00,2,1,1,Leicht bewölkt,8,81,6,0,18
,13. Mrz. 2018 02:00,2,1,1,Bedeckt,8,83,6,0,18
,13. Mrz. 2018 03:00,4,2,2,Bedeckt,8,85,6,0,17
,13. Mrz. 2018 04:00,12,6,6,Bedeckt,8,86,5,0,18
,13. Mrz. 2018 05:00,18,10,8,Nieselregen,8,88,5,0,18
,13. Mrz. 2018 06:00,83,48,35,Nieselregen,8,89,5,0,18
,13. Mrz. 2018 07:00,328,194,134,Nieselregen,8,88,5,0,18
,13. Mrz. 2018 08:00,265,156,109,Stellenweise Gewitter und Niederschläge,8,87,5,0,19
,13. Mrz. 2018 09:00,193,113,80,Stellenweise Gewitter und Niederschläge,8,87,5,0,19
,13. Mrz. 2018 10:00,113,66,47,Stellenweise Gewitter und Niederschläge,8,86,5,0,18
,13. Mrz. 2018 11:00,93,54,39,Nieselregen,8,86,5,0,18
,13. Mrz. 2018 12:00,153,90,63,Nieselregen,8,86,6,0,17
,13. Mrz. 2018 13:00,103,60,43,Nieselregen,8,85,5,0,18
,13. Mrz. 2018 14:00,134,79,55,Leichter Regenfall,8,85,4,0,19
,13. Mrz. 2018 15:00,190,112,78,Leichter Regenfall,7,85,4,0,21
,13. Mrz. 2018 16:00,264,155,109,Leichter Regenfall,7,85,3,0,20
,13. Mrz. 2018 17:00,220,130,90,Leichter Regenfall,6,84,3,0,20
,13. Mrz. 2018 18:00,175,103,72,Leichter Regenfall,6,84,2,0,19
,13. Mrz. 2018 19:00,123,72,51,Leichter Regenfall,6,84,2,0,18
,13. Mrz. 2018 20:00,60,35,25,Stellenweiser Regenfall,5,84,2,0,17
,13. Mrz. 2018 21:00,49,28,21,Stellenweiser Regenfall,5,84,2,0,16
,13. Mrz. 2018 22:00,30,16,14,Stellenweiser Regenfall,5,86,2,0,16
,13. Mrz. 2018 23:00,15,8,7,Stellenweiser Regenfall,5,87,1,0,15
,14. Mrz. 2018 00:00,6,3,3,Stellenweiser Regenfall,4,89,1,0,15
,14. Mrz. 2018 01:00,10,5,5,Stellenweiser Regenfall,4,90,1,0,15
,14. Mrz. 2018 02:00,2,1,1,Bedeckt,4,91,0,0,14
,14. Mrz. 2018 03:00,2,1,1,Bedeckt,3,92,0,0,14
,14. Mrz. 2018 04:00,13,7,6,Bedeckt,3,93,0,0,13
,14. Mrz. 2018 05:00,23,13,10,Bedeckt,2,94,-1,0,11
,14. Mrz. 2018 06:00,76,44,32,Bedeckt,2,95,-1,0,10
,14. Mrz. 2018 07:00,388,229,159,Bedeckt,2,92,0,0,9
,14. Mrz. 2018 08:00,290,171,119,Leichter Nebel,3,89,1,0,7
,14. Mrz. 2018 09:00,220,129,91,Leichter Nebel,4,86,2,0,6
,14. Mrz. 2018 10:00,179,105,74,Leichter Nebel,5,80,4,0,6
,14. Mrz. 2018 11:00,124,73,51,Bewölkt,6,75,5,0,5
,14. Mrz. 2018 12:00,182,107,75,Bewölkt,7,70,6,0,5
,14. Mrz. 2018 13:00,165,97,68,Bewölkt,7,67,7,0,5
,14. Mrz. 2018 14:00,149,87,62,Bedeckt,8,64,7,0,5
,14. Mrz. 2018 15:00,241,142,99,Bedeckt,9,62,8,0,6
,14. Mrz. 2018 16:00,325,192,133,Bedeckt,8,65,7,0,8
,14. Mrz. 2018 17:00,305,180,125,Leicht bewölkt,7,68,5,0,9
,14. Mrz. 2018 18:00,251,148,103,Leicht bewölkt,6,72,4,0,11
,14. Mrz. 2018 19:00,158,93,65,Leicht bewölkt,6,75,3,0,12
,14. Mrz. 2018 20:00,115,68,47,Leicht bewölkt,5,78,2,0,14
,14. Mrz. 2018 21:00,71,41,30,Leicht bewölkt,4,81,0,0,15
,14. Mrz. 2018 22:00,51,29,22,Leicht bewölkt,4,81,0,0,16
,14. Mrz. 2018 23:00,21,11,10,Sonnig,3,82,-1,0,17
,15. Mrz. 2018 00:00,19,10,9,Sonnig,3,82,-2,0,18
,15. Mrz. 2018 01:00,6,3,3,Sonnig,2,82,-2,0,18
,15. Mrz. 2018 02:00,4,2,2,Sonnig,2,82,-2,0,17
,15. Mrz. 2018 03:00,8,4,4,Sonnig,2,82,-3,0,17
,15. Mrz. 2018 04:00,13,7,6,Sonnig,2,82,-3,0,18
,15. Mrz. 2018 05:00,15,8,7,Sonnig,2,81,-3,0,19
,15. Mrz. 2018 06:00,71,41,30,Sonnig,2,81,-3,0,21
,15. Mrz. 2018 07:00,369,218,151,Sonnig,3,78,-2,0,23
,15. Mrz. 2018 08:00,291,171,120,Sonnig,4,74,-1,0,25
,15. Mrz. 2018 09:00,197,116,81,Sonnig,5,70,0,0,27
,15. Mrz. 2018 10:00,161,94,67,Sonnig,6,66,2,0,28
,15. Mrz. 2018 11:00,127,74,53,Sonnig,8,61,4,0,30
,15. Mrz. 2018 12:00,167,98,69,Sonnig,9,57,5,0,31
,15. Mrz. 2018 13:00,179,105,74,Sonnig,10,56,6,0,30
,15. Mrz. 2018 14:00,204,120,84,Leicht bewölkt,10,55,7,0,30
,15. Mrz. 2018 15:00,250,147,103,Leicht bewölkt,11,54,8,0,29
,15. Mrz. 2018 16:00,327,193,134,Leicht bewölkt,10,57,7,0,27
,15. Mrz. 2018 17:00,288,170,118,Bedeckt,10,60,7,0,25
,15. Mrz. 2018 18:00,248,146,102,Bedeckt,9,63,6,0,23
,15. Mrz. 2018 19:00,148,87,61,Bedeckt,8,65,5,0,23
,15. Mrz. 2018 20:00,115,67,48,Leicht bewölkt,8,66,4,0,23
,15. Mrz. 2018 21:00,69,40,29,Leicht bewölkt,7,68,4,0,23
,15. Mrz. 2018 22:00,36,20,16,Leicht bewölkt,7,70,3,0,23
,15. Mrz. 2018 23:00,51,29,22,Leicht bewölkt,6,71,3,0,23
,16. Mrz. 2018 00:00,18,10,8,Leicht bewölkt,6,72,2,0,23
,16. Mrz. 2018 01:00,8,4,4,Leicht bewölkt,6,75,2,0,23
,16. Mrz. 2018 02:00,4,2,2,Bedeckt,5,77,1,0,22
,16. Mrz. 2018 03:00,4,2,2,Bedeckt,5,80,1,0,22
,16. Mrz. 2018 04:00,10,5,5,Bedeckt,5,81,0,0,22
,16. Mrz. 2018 05:00,16,8,8,Leichter Regenfall,4,83,0,1,23
,16. Mrz. 2018 06:00,38,21,17,Leichter Regenfall,4,84,-1,1,23
,16. Mrz. 2018 07:00,298,176,122,Leichter Regenfall,4,84,-1,1,23
,16. Mrz. 2018 08:00,169,99,70,Mäßiger Regenfall,4,84,-1,1,24
,16. Mrz. 2018 09:00,115,67,48,Mäßiger Regenfall,4,84,-1,1,24
,16. Mrz. 2018 10:00,91,53,38,Mäßiger Regenfall,4,85,-1,1,25
,16. Mrz. 2018 11:00,87,51,36,Leichter Regenfall,4,85,-1,1,26
,16. Mrz. 2018 12:00,101,59,42,Leichter Regenfall,3,85,-2,1,27
,16. Mrz. 2018 13:00,129,75,54,Leichter Regenfall,3,86,-2,1,27
,16. Mrz. 2018 14:00,145,85,60,Mäßiger bis starker Eisregen,2,87,-3,1,28
,16. Mrz. 2018 15:00,165,97,68,Mäßiger bis starker Eisregen,2,88,-4,1,29
,16. Mrz. 2018 16:00,143,84,59,Mäßiger bis starker Eisregen,1,88,-5,1,29
,16. Mrz. 2018 17:00,118,69,49,Schneesturm,1,89,-5,1,30
,16. Mrz. 2018 18:00,132,77,55,Schneesturm,0,89,-6,1,30
,16. Mrz. 2018 19:00,95,56,39,Schneesturm,0,89,-7,1,30
,16. Mrz. 2018 20:00,95,55,40,Schneesturm,0,89,-7,1,31
,16. Mrz. 2018 21:00,50,29,21,Schneesturm,-1,89,-8,1,31
,16. Mrz. 2018 22:00,28,15,13,Schneesturm,-1,89,-8,1,31
,16. Mrz. 2018 23:00,25,13,12,Schneesturm,-2,89,-9,1,31
,17. Mrz. 2018 00:00,33,19,14,Schneesturm,-2,90,-9,1,31
,17. Mrz. 2018 01:00,10,5,5,Schneesturm,-2,86,-10,1,32
,17. Mrz. 2018 02:00,21,11,10,Schneesturm,-2,82,-10,0,32
,17. Mrz. 2018 03:00,10,5,5,Schneesturm,-2,79,-10,0,33
,17. Mrz. 2018 04:00,10,5,5,Schneesturm,-3,76,-10,0,33
,17. Mrz. 2018 05:00,14,7,7,Schneeverwehungen,-3,73,-11,0,34
,17. Mrz. 2018 06:00,17,9,8,Schneeverwehungen,-3,70,-11,0,35
,17. Mrz. 2018 07:00,25,14,11,Schneeverwehungen,-3,67,-11,0,36
,17. Mrz. 2018 08:00,73,42,31,Schneesturm,-3,63,-11,0,36
,17. Mrz. 2018 09:00,103,60,43,Schneesturm,-3,59,-11,0,37
,17. Mrz. 2018 10:00,110,64,46,Schneesturm,-2,54,-10,0,38
,17. Mrz. 2018 11:00,113,66,47,Schneeverwehungen,-2,49,-9,0,38
,17. Mrz. 2018 12:00,107,63,44,Schneeverwehungen,-1,43,-8,0,39
,17. Mrz. 2018 13:00,82,48,34,Schneeverwehungen,0,41,-8,0,39
,17. Mrz. 2018 14:00,98,57,41,Schneeverwehungen,0,39,-7,0,39
,17. Mrz. 2018 15:00,78,45,33,Schneeverwehungen,1,37,-7,0,39
,17. Mrz. 2018 16:00,73,42,31,Schneeverwehungen,0,38,-7,0,38
,17. Mrz. 2018 17:00,74,43,31,Bewölkt,0,39,-8,0,36
,17. Mrz. 2018 18:00,100,58,42,Bewölkt,-1,40,-8,0,35
,17. Mrz. 2018 19:00,79,45,34,Bewölkt,-1,41,-9,0,35
,17. Mrz. 2018 20:00,85,50,35,Bedeckt,-2,41,-9,0,35
,17. Mrz. 2018 21:00,39,22,17,Bedeckt,-2,42,-10,0,35
,17. Mrz. 2018 22:00,22,12,10,Bedeckt,-2,42,-10,0,35
,17. Mrz. 2018 23:00,23,12,11,Leicht bewölkt,-2,41,-10,0,35
,18. Mrz. 2018 00:00,32,18,14,Leicht bewölkt,-3,40,-10,0,35
,18. Mrz. 2018 01:00,12,6,6,Leicht bewölkt,-3,41,-11,0,36
,18. Mrz. 2018 02:00,10,5,5,Leicht bewölkt,-3,42,-12,0,36
,18. Mrz. 2018 03:00,10,5,5,Leicht bewölkt,-4,43,-12,0,36
,18. Mrz. 2018 04:00,6,3,3,Leicht bewölkt,-4,44,-13,0,36
,18. Mrz. 2018 05:00,2,1,1,Leicht bewölkt,-4,45,-13,0,36
,18. Mrz. 2018 06:00,4,2,2,Leicht bewölkt,-5,45,-13,0,36
,18. Mrz. 2018 07:00,4,2,2,Leicht bewölkt,-4,44,-13,0,36
,18. Mrz. 2018 08:00,29,16,13,Leicht bewölkt,-4,43,-12,0,36
,18. Mrz. 2018 09:00,50,29,21,Leicht bewölkt,-3,42,-11,0,36
,18. Mrz. 2018 10:00,73,42,31,Leicht bewölkt,-2,40,-10,0,36
,18. Mrz. 2018 11:00,53,30,23,Leicht bewölkt,-1,39,-9,0,37
,18. Mrz. 2018 12:00,44,25,19,Leicht bewölkt,0,38,-8,0,37
,18. Mrz. 2018 13:00,61,35,26,Leicht bewölkt,0,37,-7,0,36
,18. Mrz. 2018 14:00,49,28,21,Leicht bewölkt,1,37,-6,0,36
,18. Mrz. 2018 15:00,73,42,31,Leicht bewölkt,1,37,-6,0,35
,18. Mrz. 2018 16:00,68,39,29,Leicht bewölkt,1,38,-6,0,32
,18. Mrz. 2018 17:00,73,42,31,Leicht bewölkt,0,38,-6,0,30
,18. Mrz. 2018 18:00,66,38,28,Leicht bewölkt,0,39,-7,0,27
,18. Mrz. 2018 19:00,44,25,19,Leicht bewölkt,-1,39,-7,0,26
,18. Mrz. 2018 20:00,55,31,24,Leicht bewölkt,-1,39,-8,0,25
,18. Mrz. 2018 21:00,29,16,13,Leicht bewölkt,-2,39,-8,0,24
,18. Mrz. 2018 22:00,17,9,8,Leicht bewölkt,-2,39,-9,0,24
,18. Mrz. 2018 23:00,8,4,4,Leicht bewölkt,-3,39,-9,0,24
,19. Mrz. 2018 00:00,4,2,2,Leicht bewölkt,-3,39,-10,0,24
,19. Mrz. 2018 01:00,2,1,1,Leicht bewölkt,-3,41,-10,0,24
,19. Mrz. 2018 02:00,0,0,0,Bewölkt,-4,43,-10,0,24
,19. Mrz. 2018 03:00,6,3,3,Bewölkt,-4,45,-11,0,23
,19. Mrz. 2018 04:00,12,6,6,Bewölkt,-4,46,-11,0,23
,19. Mrz. 2018 05:00,18,10,8,Bewölkt,-4,48,-11,0,23
,19. Mrz. 2018 06:00,61,35,26,Bewölkt,-5,49,-12,0,23
,19. Mrz. 2018 07:00,344,203,141,Bewölkt,-4,47,-11,0,23
,19. Mrz. 2018 08:00,228,134,94,Bewölkt,-3,44,-10,0,24
,19. Mrz. 2018 09:00,159,93,66,Bewölkt,-3,42,-9,0,24
,19. Mrz. 2018 10:00,125,73,52,Bewölkt,-2,39,-8,0,24
,19. Mrz. 2018 11:00,130,77,53,Leicht bewölkt,0,37,-6,0,25
,19. Mrz. 2018 12:00,132,77,55,Leicht bewölkt,1,34,-5,0,25
,19. Mrz. 2018 13:00,146,86,60,Leicht bewölkt,1,33,-4,0,24
,19. Mrz. 2018 14:00,155,91,64,Leicht bewölkt,2,31,-3,0,24
,19. Mrz. 2018 15:00,231,137,94,Leicht bewölkt,2,30,-3,0,24
,19. Mrz. 2018 16:00,285,168,117,Leicht bewölkt,2,32,-3,0,21
,19. Mrz. 2018 17:00,292,172,120,Leicht bewölkt,1,35,-4,0,18
,19. Mrz. 2018 18:00,238,140,98,Leicht bewölkt,0,37,-4,0,15
,19. Mrz. 2018 19:00,137,80,57,Leicht bewölkt,-1,39,-5,0,13
,19. Mrz. 2018 20:00,83,48,35,Leicht bewölkt,-1,42,-5,0,12
,19. Mrz. 2018 21:00,76,44,32,Leicht bewölkt,-2,45,-6,0,10
,19. Mrz. 2018 22:00,54,31,23,Leicht bewölkt,-2,46,-6,0,9
,19. Mrz. 2018 23:00,30,16,14,Leicht bewölkt,-2,47,-6,0,9
,20. Mrz. 2018 00:00,10,5,5,Leicht bewölkt,-3,48,-6,0,8
,20. Mrz. 2018 01:00,4,2,2,Leicht bewölkt,-2,53,-6,0,9
,20. Mrz. 2018 02:00,2,1,1,Leicht bewölkt,-2,58,-5,0,9
,20. Mrz. 2018 03:00,2,1,1,Leicht bewölkt,-2,63,-5,0,10
,20. Mrz. 2018 04:00,12,6,6,Leicht bewölkt,-1,71,-5,0,11
,20. Mrz. 2018 05:00,17,9,8,Starker Schneefall,-1,78,-4,0,12
,20. Mrz. 2018 06:00,76,44,32,Starker Schneefall,0,86,-4,0,12
,20. Mrz. 2018 07:00,367,217,150,Starker Schneefall,1,85,-3,0,15
,20. Mrz. 2018 08:00,257,152,105,Starker Schneefall,1,83,-3,0,17
,20. Mrz. 2018 09:00,150,88,62,Starker Schneefall,2,82,-3,0,20
,20. Mrz. 2018 10:00,121,71,50,Starker Schneefall,3,73,-2,0,22
,20. Mrz. 2018 11:00,150,88,62,Stellenweise mäßiger Schneefall,4,65,-1,0,24
,20. Mrz. 2018 12:00,120,70,50,Stellenweise mäßiger Schneefall,5,57,0,0,26
,20. Mrz. 2018 13:00,152,89,63,Stellenweise mäßiger Schneefall,5,54,1,0,26
,20. Mrz. 2018 14:00,180,106,74,Leicht bewölkt,6,51,1,0,25
,20. Mrz. 2018 15:00,198,116,82,Leicht bewölkt,6,48,2,0,25
,20. Mrz. 2018 16:00,255,150,105,Leicht bewölkt,6,52,2,0,23
,20. Mrz. 2018 17:00,293,173,120,Leicht bewölkt,5,57,3,0,21
,20. Mrz. 2018 18:00,178,104,74,Leicht bewölkt,4,61,3,0,19
,20. Mrz. 2018 19:00,149,87,62,Leicht bewölkt,3,67,1,0,17
,20. Mrz. 2018 20:00,76,44,32,Leicht bewölkt,2,72,-1,0,15
,20. Mrz. 2018 21:00,57,33,24,Leicht bewölkt,0,77,-3,0,14
,20. Mrz. 2018 22:00,51,29,22,Leicht bewölkt,0,79,-3,0,12
,20. Mrz. 2018 23:00,16,8,8,Leicht bewölkt,-1,82,-3,0,10
,21. Mrz. 2018 00:00,10,5,5,Leicht bewölkt,-1,84,-4,0,8
,21. Mrz. 2018 01:00,4,2,2,Leicht bewölkt,-1,85,-4,0,7
,21. Mrz. 2018 02:00,4,2,2,Leicht bewölkt,-1,86,-3,0,6
,21. Mrz. 2018 03:00,2,1,1,Leicht bewölkt,-1,86,-3,0,5
,21. Mrz. 2018 04:00,10,5,5,Leicht bewölkt,-1,87,-3,0,5
,21. Mrz. 2018 05:00,13,7,6,Leicht bewölkt,-2,87,-3,0,5
,21. Mrz. 2018 06:00,77,44,33,Leicht bewölkt,-2,87,-4,0,6
,21. Mrz. 2018 07:00,368,217,151,Leicht bewölkt,-1,83,-3,0,7
,21. Mrz. 2018 08:00,289,170,119,Leicht bewölkt,0,79,-2,0,8
,21. Mrz. 2018 09:00,177,104,73,Leicht bewölkt,2,76,-1,0,9
,21. Mrz. 2018 10:00,161,94,67,Leicht bewölkt,3,72,0,0,10
,21. Mrz. 2018 11:00,158,93,65,Leicht bewölkt,4,68,1,0,11
,21. Mrz. 2018 12:00,142,83,59,Leicht bewölkt,5,64,2,0,13
,21. Mrz. 2018 13:00,164,96,68,Leicht bewölkt,5,64,2,0,13
,21. Mrz. 2018 14:00,164,97,67,Bedeckt,5,64,2,0,13
,21. Mrz. 2018 15:00,208,129,79,Bedeckt,5,65,3,0,13
,21. Mrz. 2018 16:00,270,164,106,Bedeckt,5,68,2,0,12
,21. Mrz. 2018 17:00,285,174,111,Bedeckt,4,72,1,0,12
,21. Mrz. 2018 18:00,228,125,103,Bedeckt,4,76,1,0,12
,21. Mrz. 2018 19:00,168,98,70,Bedeckt,3,78,0,0,11
,21. Mrz. 2018 20:00,118,64,54,Stellenweiser Regenfall,3,81,-1,0,11
,21. Mrz. 2018 21:00,98,51,47,Stellenweiser Regenfall,2,83,-1,0,11
,21. Mrz. 2018 22:00,53,22,31,Stellenweiser Regenfall,2,83,-1,0,12
,21. Mrz. 2018 23:00,21,8,13,Bedeckt,2,82,-2,0,13
,22. Mrz. 2018 00:00,18,3,15,Bedeckt,2,82,-2,0,14
,22. Mrz. 2018 01:00,15,7,8,Bedeckt,2,80,-2,0,16
,22. Mrz. 2018 02:00,14,2,12,Bewölkt,2,78,-2,0,18
,22. Mrz. 2018 03:00,12,5,7,Bewölkt,3,77,-2,0,19
,22. Mrz. 2018 04:00,10,7,3,Bewölkt,3,79,-2,0,21
,22. Mrz. 2018 05:00,13,7,6,Stellenweiser Regenfall,3,81,-2,0,23
,22. Mrz. 2018 06:00,52,22,30,Stellenweiser Regenfall,3,84,-2,0,25
,22. Mrz. 2018 07:00,249,172,77,Stellenweiser Regenfall,3,86,-2,0,25
,22. Mrz. 2018 08:00,203,127,76,Leichter Regenfall,3,88,-2,0,26
,22. Mrz. 2018 09:00,113,83,30,Leichter Regenfall,4,90,-1,0,27
,22. Mrz. 2018 10:00,81,53,28,Leichter Regenfall,4,90,0,0,25
,22. Mrz. 2018 11:00,83,48,35,Leichter Regenfall,5,90,0,0,24
,22. Mrz. 2018 12:00,135,85,50,Leichter Regenfall,6,90,1,0,23
,22. Mrz. 2018 13:00,146,85,61,Leichter Regenfall,6,90,2,0,20
,22. Mrz. 2018 14:00,142,96,46,Leichter Regenfall,6,89,3,0,18
,22. Mrz. 2018 15:00,191,116,75,Leichter Regenfall,7,89,3,0,16
