Million Plus Cities,Cause category,Cause Subcategory,Outcome of Incident,Count
Asansol Durgapur,Traffic Control,Others,Total Injured,224.0
Asansol Durgapur,Traffic Control,Others,Total number of Accidents,401.0
Asansol Durgapur,Traffic Control,Police Controlled,Greviously Injured,2.0
Asansol Durgapur,Traffic Control,Police Controlled,Minor Injury,0.0
Asansol Durgapur,Traffic Control,Police Controlled,Persons Killed,6.0
Asansol Durgapur,Traffic Control,Police Controlled,Total Injured,2.0
Asansol Durgapur,Traffic Control,Police Controlled,Total number of Accidents,7.0
Asansol Durgapur,Traffic Control,Stop Sign,Greviously Injured,1.0
Asansol Durgapur,Traffic Control,Stop Sign,Minor Injury,0.0
Asansol Durgapur,Traffic Control,Stop Sign,Persons Killed,1.0
Asansol Durgapur,Traffic Control,Stop Sign,Total Injured,1.0
Asansol Durgapur,Traffic Control,Stop Sign,Total number of Accidents,2.0
Asansol Durgapur,Traffic Control,Traffic Light Signal,Greviously Injured,0.0
Asansol Durgapur,Traffic Control,Traffic Light Signal,Minor Injury,0.0
Asansol Durgapur,Traffic Control,Traffic Light Signal,Persons Killed,1.0
Asansol Durgapur,Traffic Control,Traffic Light Signal,Total Injured,0.0
Asansol Durgapur,Traffic Control,Traffic Light Signal,Total number of Accidents,1.0
Asansol Durgapur,Traffic Control,Uncontrolled,Greviously Injured,17.0
Asansol Durgapur,Traffic Control,Uncontrolled,Minor Injury,2.0
Asansol Durgapur,Traffic Control,Uncontrolled,Persons Killed,8.0
Asansol Durgapur,Traffic Control,Uncontrolled,Total Injured,19.0
Asansol Durgapur,Traffic Control,Uncontrolled,Total number of Accidents,17.0
Aurangabad,Traffic Control,Flashing Signal/Blinker,Greviously Injured,0.0
Aurangabad,Traffic Control,Flashing Signal/Blinker,Minor Injury,0.0
Aurangabad,Traffic Control,Flashing Signal/Blinker,Persons Killed,0.0
Aurangabad,Traffic Control,Flashing Signal/Blinker,Total Injured,0.0
Aurangabad,Traffic Control,Flashing Signal/Blinker,Total number of Accidents,0.0
Aurangabad,Traffic Control,Others,Greviously Injured,189.0
Aurangabad,Traffic Control,Others,Minor Injury,69.0
Aurangabad,Traffic Control,Others,Persons Killed,107.0
Aurangabad,Traffic Control,Others,Total Injured,258.0
Aurangabad,Traffic Control,Others,Total number of Accidents,345.0
Aurangabad,Traffic Control,Police Controlled,Greviously Injured,0.0
Aurangabad,Traffic Control,Police Controlled,Minor Injury,0.0
Aurangabad,Traffic Control,Police Controlled,Persons Killed,0.0
Aurangabad,Traffic Control,Police Controlled,Total Injured,0.0
Aurangabad,Traffic Control,Police Controlled,Total number of Accidents,0.0
Aurangabad,Traffic Control,Stop Sign,Greviously Injured,0.0
Aurangabad,Traffic Control,Stop Sign,Minor Injury,0.0
Aurangabad,Traffic Control,Stop Sign,Persons Killed,0.0
Aurangabad,Traffic Control,Stop Sign,Total Injured,0.0
Aurangabad,Traffic Control,Stop Sign,Total number of Accidents,0.0
Aurangabad,Traffic Control,Traffic Light Signal,Greviously Injured,0.0
Aurangabad,Traffic Control,Traffic Light Signal,Minor Injury,0.0
Aurangabad,Traffic Control,Traffic Light Signal,Persons Killed,0.0
Aurangabad,Traffic Control,Traffic Light Signal,Total Injured,0.0
Aurangabad,Traffic Control,Traffic Light Signal,Total number of Accidents,0.0
Aurangabad,Traffic Control,Uncontrolled,Greviously Injured,31.0
Aurangabad,Traffic Control,Uncontrolled,Minor Injury,4.0
Aurangabad,Traffic Control,Uncontrolled,Persons Killed,29.0
Aurangabad,Traffic Control,Uncontrolled,Total Injured,35.0
Aurangabad,Traffic Control,Uncontrolled,Total number of Accidents,61.0
Bengaluru,Traffic Control,Flashing Signal/Blinker,Greviously Injured,33.0
Bengaluru,Traffic Control,Flashing Signal/Blinker,Minor Injury,33.0
Bengaluru,Traffic Control,Flashing Signal/Blinker,Persons Killed,9.0
Bengaluru,Traffic Control,Flashing Signal/Blinker,Total Injured,66.0
Bengaluru,Traffic Control,Flashing Signal/Blinker,Total number of Accidents,67.0
Bengaluru,Traffic Control,Others,Greviously Injured,1154.0
Bengaluru,Traffic Control,Others,Minor Injury,773.0
Bengaluru,Traffic Control,Others,Persons Killed,536.0
Bengaluru,Traffic Control,Others,Total Injured,1927.0
Bengaluru,Traffic Control,Others,Total number of Accidents,2316.0
Bengaluru,Traffic Control,Police Controlled,Greviously Injured,130.0
Bengaluru,Traffic Control,Police Controlled,Minor Injury,38.0
Bengaluru,Traffic Control,Police Controlled,Persons Killed,38.0
Bengaluru,Traffic Control,Police Controlled,Total Injured,168.0
Bengaluru,Traffic Control,Police Controlled,Total number of Accidents,220.0
Bengaluru,Traffic Control,Stop Sign,Greviously Injured,12.0
Bengaluru,Traffic Control,Stop Sign,Minor Injury,4.0
Bengaluru,Traffic Control,Stop Sign,Persons Killed,0.0
Bengaluru,Traffic Control,Stop Sign,Total Injured,16.0
Bengaluru,Traffic Control,Stop Sign,Total number of Accidents,16.0
Bengaluru,Traffic Control,Traffic Light Signal,Greviously Injured,180.0
Bengaluru,Traffic Control,Traffic Light Signal,Minor Injury,99.0
Bengaluru,Traffic Control,Traffic Light Signal,Persons Killed,32.0
Bengaluru,Traffic Control,Traffic Light Signal,Total Injured,279.0
Bengaluru,Traffic Control,Traffic Light Signal,Total number of Accidents,335.0
Bengaluru,Traffic Control,Uncontrolled,Greviously Injured,198.0
Bengaluru,Traffic Control,Uncontrolled,Minor Injury,97.0
Bengaluru,Traffic Control,Uncontrolled,Persons Killed,31.0
Bengaluru,Traffic Control,Uncontrolled,Total Injured,295.0
Bengaluru,Traffic Control,Uncontrolled,Total number of Accidents,279.0
Bhopal,Traffic Control,Flashing Signal/Blinker,Greviously Injured,0.0
Bhopal,Traffic Control,Flashing Signal/Blinker,Minor Injury,19.0
Bhopal,Traffic Control,Flashing Signal/Blinker,Persons Killed,3.0
Bhopal,Traffic Control,Flashing Signal/Blinker,Total Injured,19.0
Bhopal,Traffic Control,Flashing Signal/Blinker,Total number of Accidents,33.0
Bhopal,Traffic Control,Others,Greviously Injured,71.0
Bhopal,Traffic Control,Others,Minor Injury,753.0
Bhopal,Traffic Control,Others,Persons Killed,135.0
Bhopal,Traffic Control,Others,Total Injured,824.0
Bhopal,Traffic Control,Others,Total number of Accidents,1001.0
Bhopal,Traffic Control,Police Controlled,Greviously Injured,11.0
Bhopal,Traffic Control,Police Controlled,Minor Injury,45.0
Bhopal,Traffic Control,Police Controlled,Persons Killed,9.0
Bhopal,Traffic Control,Police Controlled,Total Injured,56.0
Bhopal,Traffic Control,Police Controlled,Total number of Accidents,101.0
Bhopal,Traffic Control,Stop Sign,Greviously Injured,30.0
Bhopal,Traffic Control,Stop Sign,Minor Injury,295.0
Bhopal,Traffic Control,Stop Sign,Persons Killed,26.0
Bhopal,Traffic Control,Stop Sign,Total Injured,325.0
Bhopal,Traffic Control,Stop Sign,Total number of Accidents,416.0
Bhopal,Traffic Control,Traffic Light Signal,Greviously Injured,21.0
Bhopal,Traffic Control,Traffic Light Signal,Minor Injury,103.0
Bhopal,Traffic Control,Traffic Light Signal,Persons Killed,18.0
Bhopal,Traffic Control,Traffic Light Signal,Total Injured,124.0
Bhopal,Traffic Control,Traffic Light Signal,Total number of Accidents,181.0
Bhopal,Traffic Control,Uncontrolled,Greviously Injured,53.0
Bhopal,Traffic Control,Uncontrolled,Minor Injury,406.0
Bhopal,Traffic Control,Uncontrolled,Persons Killed,46.0
Bhopal,Traffic Control,Uncontrolled,Total Injured,459.0
Bhopal,Traffic Control,Uncontrolled,Total number of Accidents,563.0
Chandigarh,Traffic Control,Flashing Signal/Blinker,Greviously Injured,4.0
Chandigarh,Traffic Control,Flashing Signal/Blinker,Minor Injury,15.0
Chandigarh,Traffic Control,Flashing Signal/Blinker,Persons Killed,5.0
Chandigarh,Traffic Control,Flashing Signal/Blinker,Total Injured,19.0
Chandigarh,Traffic Control,Flashing Signal/Blinker,Total number of Accidents,15.0
Chandigarh,Traffic Control,Others,Greviously Injured,8.0
Chandigarh,Traffic Control,Others,Minor Injury,61.0
Chandigarh,Traffic Control,Others,Persons Killed,25.0
Chandigarh,Traffic Control,Others,Total Injured,69.0
Chandigarh,Traffic Control,Others,Total number of Accidents,77.0
Chandigarh,Traffic Control,Police Controlled,Greviously Injured,0.0
Chandigarh,Traffic Control,Police Controlled,Minor Injury,0.0
Chandigarh,Traffic Control,Police Controlled,Persons Killed,1.0
Chandigarh,Traffic Control,Police Controlled,Total Injured,0.0
Chandigarh,Traffic Control,Police Controlled,Total number of Accidents,1.0
Chandigarh,Traffic Control,Stop Sign,Greviously Injured,0.0
Chandigarh,Traffic Control,Stop Sign,Minor Injury,0.0
Chandigarh,Traffic Control,Stop Sign,Persons Killed,0.0
Chandigarh,Traffic Control,Stop Sign,Total Injured,0.0
Chandigarh,Traffic Control,Stop Sign,Total number of Accidents,0.0
Chandigarh,Traffic Control,Traffic Light Signal,Greviously Injured,0.0
Chandigarh,Traffic Control,Traffic Light Signal,Minor Injury,43.0
Chandigarh,Traffic Control,Traffic Light Signal,Persons Killed,17.0
Chandigarh,Traffic Control,Traffic Light Signal,Total Injured,43.0
Chandigarh,Traffic Control,Traffic Light Signal,Total number of Accidents,49.0
Chandigarh,Traffic Control,Uncontrolled,Greviously Injured,2.0
Chandigarh,Traffic Control,Uncontrolled,Minor Injury,15.0
Chandigarh,Traffic Control,Uncontrolled,Persons Killed,5.0
Chandigarh,Traffic Control,Uncontrolled,Total Injured,17.0
Chandigarh,Traffic Control,Uncontrolled,Total number of Accidents,17.0
Chennai,Traffic Control,Flashing Signal/Blinker,Greviously Injured,198.0
Chennai,Traffic Control,Flashing Signal/Blinker,Minor Injury,525.0
Chennai,Traffic Control,Flashing Signal/Blinker,Persons Killed,212.0
Chennai,Traffic Control,Flashing Signal/Blinker,Total Injured,723.0
Chennai,Traffic Control,Flashing Signal/Blinker,Total number of Accidents,776.0
Chennai,Traffic Control,Others,Greviously Injured,369.0
Chennai,Traffic Control,Others,Minor Injury,1214.0
Chennai,Traffic Control,Others,Persons Killed,276.0
Chennai,Traffic Control,Others,Total Injured,1583.0
Chennai,Traffic Control,Others,Total number of Accidents,1598.0
Chennai,Traffic Control,Police Controlled,Greviously Injured,78.0
Chennai,Traffic Control,Police Controlled,Minor Injury,445.0
Chennai,Traffic Control,Police Controlled,Persons Killed,110.0
Chennai,Traffic Control,Police Controlled,Total Injured,523.0
Chennai,Traffic Control,Police Controlled,Total number of Accidents,501.0
Chennai,Traffic Control,Stop Sign,Greviously Injured,88.0
Chennai,Traffic Control,Stop Sign,Minor Injury,234.0
Chennai,Traffic Control,Stop Sign,Persons Killed,81.0
Chennai,Traffic Control,Stop Sign,Total Injured,322.0
Chennai,Traffic Control,Stop Sign,Total number of Accidents,384.0
Chennai,Traffic Control,Traffic Light Signal,Greviously Injured,89.0
Chennai,Traffic Control,Traffic Light Signal,Minor Injury,389.0
Chennai,Traffic Control,Traffic Light Signal,Persons Killed,65.0
Chennai,Traffic Control,Traffic Light Signal,Total Injured,478.0
Chennai,Traffic Control,Traffic Light Signal,Total number of Accidents,433.0
Chennai,Traffic Control,Uncontrolled,Greviously Injured,119.0
Chennai,Traffic Control,Uncontrolled,Minor Injury,515.0
Chennai,Traffic Control,Uncontrolled,Persons Killed,128.0
Chennai,Traffic Control,Uncontrolled,Total Injured,634.0
Chennai,Traffic Control,Uncontrolled,Total number of Accidents,697.0
Coimbatore,Traffic Control,Flashing Signal/Blinker,Greviously Injured,11.0
Coimbatore,Traffic Control,Flashing Signal/Blinker,Minor Injury,16.0
Coimbatore,Traffic Control,Flashing Signal/Blinker,Persons Killed,2.0
Coimbatore,Traffic Control,Flashing Signal/Blinker,Total Injured,27.0
Coimbatore,Traffic Control,Flashing Signal/Blinker,Total number of Accidents,25.0
Coimbatore,Traffic Control,Others,Greviously Injured,267.0
Coimbatore,Traffic Control,Others,Minor Injury,244.0
Coimbatore,Traffic Control,Others,Persons Killed,54.0
Coimbatore,Traffic Control,Others,Total Injured,511.0
Coimbatore,Traffic Control,Others,Total number of Accidents,500.0
Coimbatore,Traffic Control,Police Controlled,Greviously Injured,0.0
Coimbatore,Traffic Control,Police Controlled,Minor Injury,6.0
Coimbatore,Traffic Control,Police Controlled,Persons Killed,0.0
Coimbatore,Traffic Control,Police Controlled,Total Injured,6.0
Coimbatore,Traffic Control,Police Controlled,Total number of Accidents,8.0
Coimbatore,Traffic Control,Stop Sign,Greviously Injured,0.0
Coimbatore,Traffic Control,Stop Sign,Minor Injury,0.0
Coimbatore,Traffic Control,Stop Sign,Persons Killed,0.0
Coimbatore,Traffic Control,Stop Sign,Total Injured,0.0
Coimbatore,Traffic Control,Stop Sign,Total number of Accidents,0.0
Coimbatore,Traffic Control,Traffic Light Signal,Greviously Injured,11.0
Coimbatore,Traffic Control,Traffic Light Signal,Minor Injury,25.0
Coimbatore,Traffic Control,Traffic Light Signal,Persons Killed,3.0
Coimbatore,Traffic Control,Traffic Light Signal,Total Injured,36.0
Coimbatore,Traffic Control,Traffic Light Signal,Total number of Accidents,40.0
Coimbatore,Traffic Control,Uncontrolled,Greviously Injured,58.0
Coimbatore,Traffic Control,Uncontrolled,Minor Injury,84.0
Coimbatore,Traffic Control,Uncontrolled,Persons Killed,6.0
Coimbatore,Traffic Control,Uncontrolled,Total Injured,142.0
Coimbatore,Traffic Control,Uncontrolled,Total number of Accidents,134.0
Delhi,Traffic Control,Flashing Signal/Blinker,Greviously Injured,6.0
Delhi,Traffic Control,Flashing Signal/Blinker,Minor Injury,134.0
Delhi,Traffic Control,Flashing Signal/Blinker,Persons Killed,49.0
Delhi,Traffic Control,Flashing Signal/Blinker,Total Injured,140.0
Delhi,Traffic Control,Flashing Signal/Blinker,Total number of Accidents,171.0
Delhi,Traffic Control,Others,Greviously Injured,109.0
Delhi,Traffic Control,Others,Minor Injury,2180.0
Delhi,Traffic Control,Others,Persons Killed,686.0
Delhi,Traffic Control,Others,Total Injured,2289.0
Delhi,Traffic Control,Others,Total number of Accidents,2463.0
Delhi,Traffic Control,Police Controlled,Greviously Injured,5.0
Delhi,Traffic Control,Police Controlled,Minor Injury,42.0
Delhi,Traffic Control,Police Controlled,Persons Killed,20.0
Delhi,Traffic Control,Police Controlled,Total Injured,47.0
Delhi,Traffic Control,Police Controlled,Total number of Accidents,62.0
Delhi,Traffic Control,Stop Sign,Greviously Injured,8.0
Delhi,Traffic Control,Stop Sign,Minor Injury,110.0
Delhi,Traffic Control,Stop Sign,Persons Killed,37.0
Delhi,Traffic Control,Stop Sign,Total Injured,118.0
Delhi,Traffic Control,Stop Sign,Total number of Accidents,140.0
Delhi,Traffic Control,Traffic Light Signal,Greviously Injured,39.0
Delhi,Traffic Control,Traffic Light Signal,Minor Injury,300.0
Delhi,Traffic Control,Traffic Light Signal,Persons Killed,98.0
Delhi,Traffic Control,Traffic Light Signal,Total Injured,339.0
Delhi,Traffic Control,Traffic Light Signal,Total number of Accidents,401.0
Delhi,Traffic Control,Uncontrolled,Greviously Injured,45.0
Delhi,Traffic Control,Uncontrolled,Minor Injury,684.0
Delhi,Traffic Control,Uncontrolled,Persons Killed,306.0
Delhi,Traffic Control,Uncontrolled,Total Injured,729.0
Delhi,Traffic Control,Uncontrolled,Total number of Accidents,941.0
Dhanbad,Traffic Control,Flashing Signal/Blinker,Greviously Injured,4.0
Dhanbad,Traffic Control,Flashing Signal/Blinker,Minor Injury,2.0
Dhanbad,Traffic Control,Flashing Signal/Blinker,Persons Killed,11.0
Dhanbad,Traffic Control,Flashing Signal/Blinker,Total Injured,6.0
Dhanbad,Traffic Control,Flashing Signal/Blinker,Total number of Accidents,14.0
Dhanbad,Traffic Control,Others,Greviously Injured,0.0
Dhanbad,Traffic Control,Others,Minor Injury,0.0
Dhanbad,Traffic Control,Others,Persons Killed,0.0
Dhanbad,Traffic Control,Others,Total Injured,0.0
Dhanbad,Traffic Control,Others,Total number of Accidents,0.0
Dhanbad,Traffic Control,Police Controlled,Greviously Injured,15.0
Dhanbad,Traffic Control,Police Controlled,Minor Injury,9.0
Dhanbad,Traffic Control,Police Controlled,Persons Killed,32.0
Dhanbad,Traffic Control,Police Controlled,Total Injured,24.0
Dhanbad,Traffic Control,Police Controlled,Total number of Accidents,47.0
Dhanbad,Traffic Control,Stop Sign,Greviously Injured,5.0
Dhanbad,Traffic Control,Stop Sign,Minor Injury,2.0
Dhanbad,Traffic Control,Stop Sign,Persons Killed,9.0
Dhanbad,Traffic Control,Stop Sign,Total Injured,7.0
Dhanbad,Traffic Control,Stop Sign,Total number of Accidents,12.0
Dhanbad,Traffic Control,Traffic Light Signal,Greviously Injured,35.0
Dhanbad,Traffic Control,Traffic Light Signal,Minor Injury,12.0
Dhanbad,Traffic Control,Traffic Light Signal,Persons Killed,18.0
Dhanbad,Traffic Control,Traffic Light Signal,Total Injured,47.0
Dhanbad,Traffic Control,Traffic Light Signal,Total number of Accidents,69.0
Dhanbad,Traffic Control,Uncontrolled,Greviously Injured,13.0
Dhanbad,Traffic Control,Uncontrolled,Minor Injury,1.0
Dhanbad,Traffic Control,Uncontrolled,Persons Killed,13.0
Dhanbad,Traffic Control,Uncontrolled,Total Injured,14.0
Dhanbad,Traffic Control,Uncontrolled,Total number of Accidents,22.0
Faridabad,Traffic Control,Flashing Signal/Blinker,Greviously Injured,2.0
Faridabad,Traffic Control,Flashing Signal/Blinker,Minor Injury,6.0
Faridabad,Traffic Control,Flashing Signal/Blinker,Persons Killed,3.0
Faridabad,Traffic Control,Flashing Signal/Blinker,Total Injured,8.0
Faridabad,Traffic Control,Flashing Signal/Blinker,Total number of Accidents,9.0
Faridabad,Traffic Control,Others,Greviously Injured,57.0
Faridabad,Traffic Control,Others,Minor Injury,305.0
Faridabad,Traffic Control,Others,Persons Killed,160.0
Faridabad,Traffic Control,Others,Total Injured,362.0
Faridabad,Traffic Control,Others,Total number of Accidents,418.0
Faridabad,Traffic Control,Police Controlled,Greviously Injured,0.0
Faridabad,Traffic Control,Police Controlled,Minor Injury,0.0
Faridabad,Traffic Control,Police Controlled,Persons Killed,0.0
Faridabad,Traffic Control,Police Controlled,Total Injured,0.0
Faridabad,Traffic Control,Police Controlled,Total number of Accidents,0.0
Faridabad,Traffic Control,Stop Sign,Greviously Injured,1.0
Faridabad,Traffic Control,Stop Sign,Minor Injury,3.0
Faridabad,Traffic Control,Stop Sign,Persons Killed,1.0
Faridabad,Traffic Control,Stop Sign,Total Injured,4.0
Faridabad,Traffic Control,Stop Sign,Total number of Accidents,4.0
Faridabad,Traffic Control,Traffic Light Signal,Greviously Injured,1.0
Faridabad,Traffic Control,Traffic Light Signal,Minor Injury,3.0
Faridabad,Traffic Control,Traffic Light Signal,Persons Killed,3.0
Faridabad,Traffic Control,Traffic Light Signal,Total Injured,4.0
Faridabad,Traffic Control,Traffic Light Signal,Total number of Accidents,6.0
Faridabad,Traffic Control,Uncontrolled,Greviously Injured,4.0
